filename,consensus_type,consensus_score,agreements,building,synthesis,convergence,questions,disagreements
debate_transcript_1.txt,STRONG_CONSENSUS,1.00,0,21,7,0,16,0
debate_transcript_10.txt,STRONG_CONSENSUS,0.91,0,17,4,0,25,1
debate_transcript_2.txt,MODERATE_CONSENSUS,0.64,1,7,4,0,21,0
debate_transcript_3.txt,MODERATE_CONSENSUS,0.54,0,8,5,0,13,0
debate_transcript_4.txt,PARTIAL_CONSENSUS,0.35,0,8,2,0,10,0
debate_transcript_5.txt,MODERATE_CONSENSUS,0.59,1,5,7,0,12,0
debate_transcript_6.txt,PARTIAL_CONSENSUS,0.38,0,12,5,0,12,2
debate_transcript_7.txt,STRONG_CONSENSUS,0.91,0,13,7,0,20,0
debate_transcript_8.txt,STRONG_CONSENSUS,1.00,0,17,12,0,15,0
debate_transcript_9.txt,MODERATE_CONSENSUS,0.62,0,8,6,0,26,1
